home_team,away_team,home_team_score,away_team_score,game_date,stadium,public,ref,yellow_cards_home,red_cards_home,gols_home,yellow_cards_away,red_cards_away,gols_away,sec_card_home,sec_card_away,link
CR Flamengo,SC Internacional,0,0,5 de outubro de 2022 21:30,Estádio Jornalista Mário Filho (Maracanã),43.710,Flavio Rodrigues De Souza,"[{""player"": ""David Luiz Moreira Marinho"", ""minute"": ""19'""}, {""player"": ""Thiago Maia Alencar"", ""minute"": ""84'""}, {""player"": ""Gabriel Barbosa Almeida"", ""minute"": ""90+7'""}]",[],[],"[{""player"": ""Pedro Henrique Konzen Medina da Silva"", ""minute"": ""54'""}, {""player"": ""Gabriel Iv\u00e1n Mercado"", ""minute"": ""61'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3olttevl75q8e7p5b5erpylg4
Club Athletico Paranaense,Fortaleza EC,1,1,5 de outubro de 2022 19:30,Arena da Baixada,15.646,Rafael Rodrigo Klein,"[{""player"": ""Thiago Heleno Henrique Ferreira"", ""minute"": ""82'""}, {""player"": ""Tom\u00e1s Esteban Cuello"", ""minute"": ""90+8'""}]",[],"[{""player"": ""Pablo Felipe Teixeira"", ""minute"": ""90+2'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Juan Pablo Vojvoda"", ""minute"": ""42'""}, {""player"": ""Brayan Andr\u00e9s Ceballos Jim\u00e9nez"", ""minute"": ""76'""}]",[],"[{""player"": ""Thiago Galhardo do Nascimento Rocha"", ""minute"": ""15'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3pcvql5p7r0e1ntk812owdwk4
Ceará SC,Goiás EC,1,1,5 de outubro de 2022 19:00,Castelão,16.702,Vinicius Gonçalves Dias Araujo,"[{""player"": ""Richardson Fernandes dos Santos"", ""minute"": ""11'""}, {""player"": ""Gabriel Santos Cordeiro Lacerda"", ""minute"": ""44'""}, {""player"": ""Vin\u00edcius Goes Barbosa de Souza"", ""minute"": ""58'""}, {""player"": ""John Steven Mendoza Valencia"", ""minute"": ""66'""}]",[],"[{""player"": ""John Steven Mendoza Valencia"", ""minute"": ""47'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Jackson Diego Ibraim Fagundes"", ""minute"": ""22'""}, {""player"": ""Hugo Ferreira de Farias"", ""minute"": ""83'""}, {""player"": ""Luan Dias da Silva"", ""minute"": ""90+11'""}, {""player"": ""Fellipe Ramos Ignez Bastos"", ""minute"": ""90+12'""}]",[],"[{""player"": ""Nicolas Godinho Johann"", ""minute"": ""90+3'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Vin\u00edcius Goes Barbosa de Souza"", ""minute"": ""61'""}]",[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3p2p8o1bpbfidlnu757m9ocgk
Red Bull Bragantino,Cuiabá EC,2,1,5 de outubro de 2022 19:00,Nabizão,2.704,Jefferson Ferreira de Moraes,"[{""player"": ""H\u00e9lio J\u00fanio Nunes de Castro"", ""minute"": ""45+2'""}, {""player"": ""Aderlan de Lima Silva"", ""minute"": ""86'""}]",[],"[{""player"": ""Werik Silva Pinto"", ""minute"": ""45+5'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Artur Victor Guimar\u00e3es"", ""minute"": ""60'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Jo\u00e3o Pedro Vilardi Pinto"", ""minute"": ""43'""}, {""player"": ""Denilson Alves Borges"", ""minute"": ""45+5'""}, {""player"": ""Ant\u00f3nio Oliveira"", ""minute"": ""45+6'""}, {""player"": ""Gustavo Henrique Alves Silva"", ""minute"": ""75'""}]",[],"[{""player"": ""Deyverson Brum Silva Acosta"", ""minute"": ""34'"", ""cont"": 0, ""penal"": 1}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3op2fi3uxbilem1szawliokyc
Atlético Goianiense,Fluminense FC,3,2,5 de outubro de 2022 19:00,Estádio Antônio Accioly,6.075,Anderson Daronco,"[{""player"": ""Airton Mois\u00e9s Santos Sousa"", ""minute"": ""41'""}, {""player"": ""Gabriel Baralhas dos Santos"", ""minute"": ""45+4'""}, {""player"": ""Jefferson Junio Ant\u00f4nio da Silva"", ""minute"": ""65'""}, {""player"": ""Leonardo Augusto dos Santos Pereira"", ""minute"": ""72'""}]",[],"[{""player"": ""Diego Chur\u00edn Puyo"", ""minute"": ""45'"", ""cont"": 0, ""penal"": 1}, {""player"": ""Gabriel Baralhas dos Santos"", ""minute"": ""75'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Marlon Rodrigues de Freitas"", ""minute"": ""88'"", ""cont"": 0, ""penal"": 0}]",[],[],"[{""player"": ""Jhon Adolfo Arias Andrade"", ""minute"": ""5'"", ""cont"": 0, ""penal"": 1}, {""player"": ""Germ\u00e1n Ezequiel Cano"", ""minute"": ""37'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3p65nrbksp4kgvqil3uxndel0
EC Juventude,SC Corinthians Paulista,2,2,4 de outubro de 2022 21:30,Alfredo Jaconi,3.159,Wagner do Nascimento Magalhaes,"[{""player"": ""Ruan Pereira Duarte"", ""minute"": ""90+5'""}]",[],"[{""player"": ""\u00d3scar Ram\u00f3n Ruiz Roa"", ""minute"": ""46'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Isidro Miguel Pitta Sald\u00edvar"", ""minute"": ""62'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Carlos Gilberto do Nascimento Silva"", ""minute"": ""31'""}, {""player"": ""Adson Ferreira Soares"", ""minute"": ""88'""}]",[],"[{""player"": ""Giuliano Victor de Paula"", ""minute"": ""24'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Yuri Alberto Monteiro da Silva"", ""minute"": ""54'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3oz7han841iflyq1g4trrhtec
Botafogo FR,SE Palmeiras,1,3,3 de outubro de 2022 20:00,Estádio Nilton Santos,16.545,Wilton Pereira Sampaio,"[{""player"": ""Victor Hugo Soares dos Santos"", ""minute"": ""8'""}, {""player"": ""Danilo das Neves Pinheiro"", ""minute"": ""42'""}, {""player"": ""Hugo Gon\u00e7alves Ferreira Neto"", ""minute"": ""63'""}, {""player"": ""Romildo Del Piage de Souza"", ""minute"": ""89'""}]",[],"[{""player"": ""Francisco das Chagas Soares dos Santos"", ""minute"": ""20'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Gustavo Ra\u00fal G\u00f3mez Portillo"", ""minute"": ""45+4'""}, {""player"": ""Jos\u00e9 Rafael Vivian"", ""minute"": ""57'""}, {""player"": ""Abel Ferreira"", ""minute"": ""72'""}]",[],"[{""player"": ""Gustavo Henrique Furtado Scarpa"", ""minute"": ""26'"", ""cont"": 0, ""penal"": 1}, {""player"": ""Mayke Rocha de Oliveira"", ""minute"": ""36'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Eduardo Pereira Rodrigues"", ""minute"": ""60'"", ""cont"": 0, ""penal"": 0}]",[],"[{""player"": ""Jos\u00e9 Rafael Vivian"", ""minute"": ""69'""}]",https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3nwdlvy4nqffgogd3hqf6x15g
SC Corinthians Paulista,Cuiabá EC,2,0,1 de outubro de 2022 21:00,Neo Química Arena,37.445,Caio Max Augusto Vieira,"[{""player"": ""Fausto Mariano Vera"", ""minute"": ""50'""}]",[],"[{""player"": ""Yuri Alberto Monteiro da Silva"", ""minute"": ""33'"", ""cont"": 0, ""penal"": 0}, {""player"": ""R\u00f3ger Krug Guedes"", ""minute"": ""45+4'"", ""cont"": 0, ""penal"": 0}]",[],[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3nsywci5cd4fhmuzzgfc9vl78
Goiás EC,Fortaleza EC,0,1,1 de outubro de 2022 19:00,Estádio Hailé Pinheiro (Serrinha),9.898,Raphael Claus,"[{""player"": ""Auremir Evangelista dos Santos"", ""minute"": ""11'""}, {""player"": ""Ada\u00edlson Freire Pereira da Silva"", ""minute"": ""45+3'""}, {""player"": ""S\u00e1vio Ant\u00f4nio Alves"", ""minute"": ""75'""}]",[],[],"[{""player"": ""Guilherme de Jesus da Silva"", ""minute"": ""25'""}, {""player"": ""Luis Ant\u00f4nio da Rocha J\u00fanior"", ""minute"": ""89'""}]",[],"[{""player"": ""Lucas Pacheco Affini"", ""minute"": ""14'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3o6mnw6ti966uqgdgxz17egic
CR Flamengo,Red Bull Bragantino,4,1,1 de outubro de 2022 19:00,Estádio Jornalista Mário Filho (Maracanã),46.698,Anderson Daronco,"[{""player"": ""Giorgian Daniel de Arrascaeta Benedetti"", ""minute"": ""45+2'""}]",[],"[{""player"": ""Gabriel Barbosa Almeida"", ""minute"": ""12'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Pedro Guilherme Abreu dos Santos"", ""minute"": ""66'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Pedro Guilherme Abreu dos Santos"", ""minute"": ""70'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Pedro Guilherme Abreu dos Santos"", ""minute"": ""71'"", ""cont"": 0, ""penal"": 0}]",[],"[{""player"": ""Luan C\u00e2ndido de Almeida"", ""minute"": ""4'""}]","[{""player"": ""H\u00e9lio J\u00fanio Nunes de Castro"", ""minute"": ""48'"", ""cont"": 0, ""penal"": 1}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3nlz3k25el5tz39fqvfhv0zdg
Avai FC,Atlético Goianiense,1,2,1 de outubro de 2022 19:00,Ressacada,8.062,Flavio Rodrigues De Souza,"[{""player"": ""Thales Bento Oleques"", ""minute"": ""70'""}, {""player"": ""Matheus Simonete Bressanelli"", ""minute"": ""73'""}]",[],"[{""player"": ""William de Oliveira Pottker"", ""minute"": ""66'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Diego Chur\u00edn Puyo"", ""minute"": ""38'""}, {""player"": ""Wellington Soares da Silva"", ""minute"": ""39'""}, {""player"": ""Gabriel Baralhas dos Santos"", ""minute"": ""44'""}, {""player"": ""Renan dos Santos"", ""minute"": ""78'""}]",[],"[{""player"": ""Wellington Soares da Silva"", ""minute"": ""45+1'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Gabriel Baralhas dos Santos"", ""minute"": ""56'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3oa0h5u4xx0omke80n6vdc3kk
Club Athletico Paranaense,EC Juventude,2,0,1 de outubro de 2022 19:00,Arena da Baixada,13.625,Maguielson Lima Barbosa,"[{""player"": ""Vitor Hugo Roque Ferreira"", ""minute"": ""42'""}, {""player"": ""Agust\u00edn Canobbio Graviz"", ""minute"": ""71'""}, {""player"": ""Pedro Henrique Ribeiro Gon\u00e7alves"", ""minute"": ""90+2'""}]",[],"[{""player"": ""Vitor Hugo Naum dos Santos"", ""minute"": ""20'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Fernando Luiz Roza"", ""minute"": ""69'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Gabriel Ferreira Neris"", ""minute"": ""42'""}, {""player"": ""Elton Junior Melo Ata\u00edde"", ""minute"": ""58'""}, {""player"": ""Jos\u00e9 Guilherme Guidolin Pegorari"", ""minute"": ""74'""}, {""player"": ""Vitor Mendes Alves"", ""minute"": ""85'""}, {""player"": ""Felipe Augusto Rodrigues Pires"", ""minute"": ""90+1'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3odazs98wdk38rn1wimqmzor8
SC Internacional,Santos FC Sao Paulo,1,0,1 de outubro de 2022 15:00,Beira-Rio,30.858,Ramon Abatti,"[{""player"": ""Jo\u00e3o Lucas de Souza Cardoso"", ""minute"": ""35'""}]",[],"[{""player"": ""Carlos Mar\u00eda de Pena Bonino"", ""minute"": ""23'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Guilherme de Aguiar Camacho"", ""minute"": ""2'""}, {""player"": ""Carlos Andr\u00e9s S\u00e1nchez Arcosa"", ""minute"": ""78'""}, {""player"": ""Luiz Felipe do Nascimento dos Santos"", ""minute"": ""88'""}, {""player"": ""Sandry Roberto Santos Goes"", ""minute"": ""89'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3nzwxco0xrcqtwazu9kcxi0wk
Ceará SC,América FC (Minas Gerais),1,2,1 de outubro de 2022 15:00,Castelão,13.976,Edina Alves Batista,"[{""player"": ""Fernando Pereira do Nascimento"", ""minute"": ""42'""}, {""player"": ""Richard C\u00e2ndido Coelho"", ""minute"": ""59'""}, {""player"": ""John Steven Mendoza Valencia"", ""minute"": ""66'""}]",[],"[{""player"": ""Vin\u00edcius Goes Barbosa de Souza"", ""minute"": ""90+3'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Everaldo Silva do Nascimento"", ""minute"": ""35'""}, {""player"": ""Alo\u00edsio dos Santos Gon\u00e7alves"", ""minute"": ""37'""}, {""player"": ""V\u00e1gner Mancini"", ""minute"": ""57'""}, {""player"": ""Matheus Fernando Cavichioli"", ""minute"": ""63'""}, {""player"": ""Juan Pablo Ram\u00edrez Vel\u00e1squez"", ""minute"": ""90'""}]",[],"[{""player"": ""Ad\u00edlson dos Anjos Oliveira"", ""minute"": ""25'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Felipe Azevedo dos Santos"", ""minute"": ""68'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3o38nzkg61xtlnfpdvx68crh0
Clube Atlético Mineiro,Fluminense FC,2,0,1 de outubro de 2022 15:00,Mineirão,20.858,Luiz Flávio de Oliveira,"[{""player"": ""Marcos da Silva Fran\u00e7a"", ""minute"": ""45'""}, {""player"": ""Allan Rodrigues de Souza"", ""minute"": ""58'""}]",[],"[{""player"": ""Givanildo Vieira de Souza"", ""minute"": ""41'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Givanildo Vieira de Souza"", ""minute"": ""65'"", ""cont"": 0, ""penal"": 1}]","[{""player"": ""Felipe Melo de Carvalho"", ""minute"": ""15'""}, {""player"": ""Manoel Messias Silva Carvalho"", ""minute"": ""58'""}, {""player"": ""Samuel Xavier Brito"", ""minute"": ""61'""}]",[],[],[],"[{""player"": ""Manoel Messias Silva Carvalho"", ""minute"": ""63'""}]",https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3ni80vxpcl1lapdtec5f603ys
SC Internacional,Red Bull Bragantino,0,0,28 de setembro de 2022 21:45,Beira-Rio,17.943,Wagner do Nascimento Magalhaes,"[{""player"": ""Gabriel Iv\u00e1n Mercado"", ""minute"": ""90+6'""}]",[],[],"[{""player"": ""Artur Victor Guimar\u00e3es"", ""minute"": ""45+4'""}, {""player"": ""Kauan Concei\u00e7\u00e3o Ferreira da Silva"", ""minute"": ""83'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3n1n5h6xzhuxxyv8cs0fz8n4k
Goiás EC,Botafogo FR,0,1,28 de setembro de 2022 21:45,Estádio Hailé Pinheiro (Serrinha),10.773,Luiz Flávio de Oliveira,"[{""player"": ""Lu\u00eds Dialisson de Souza Alves"", ""minute"": ""65'""}, {""player"": ""Caio Vin\u00edcius da Concei\u00e7\u00e3o"", ""minute"": ""69'""}, {""player"": ""Danilo Carvalho Barcelos"", ""minute"": ""80'""}, {""player"": ""Fellipe Ramos Ignez Bastos"", ""minute"": ""90+6'""}]",[],[],"[{""player"": ""Renzo Saravia"", ""minute"": ""26'""}, {""player"": ""V\u00edctor Leandro Cuesta"", ""minute"": ""60'""}, {""player"": ""Fernando Mar\u00e7al de Oliveira"", ""minute"": ""72'""}, {""player"": ""Lucas Domingues Piaz\u00f3n"", ""minute"": ""76'""}]",[],"[{""player"": ""Romildo Del Piage de Souza"", ""minute"": ""89'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3n8ac8h62x9nmqq7whcz45dzo
Clube Atlético Mineiro,SE Palmeiras,0,1,28 de setembro de 2022 21:45,Mineirão,28.644,Marcelo de Lima Henrique,"[{""player"": ""Jair Rodrigues J\u00fanior"", ""minute"": ""9'""}, {""player"": ""Jos\u00e9 Rodolfo Pires Ribeiro"", ""minute"": ""41'""}, {""player"": ""Federico Mat\u00edas Zaracho"", ""minute"": ""44'""}]",[],[],"[{""player"": ""Luan Garcia Teixeira"", ""minute"": ""62'""}, {""player"": ""Murilo Cerqueira Paim"", ""minute"": ""72'""}, {""player"": ""Eduardo Pereira Rodrigues"", ""minute"": ""77'""}]",[],"[{""player"": ""Murilo Cerqueira Paim"", ""minute"": ""51'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3misyikjyr1sdvgdsgqeanq50
Cuiabá EC,América FC (Minas Gerais),2,1,28 de setembro de 2022 21:00,Arena Pantanal,3.364,Dyorgines José Padovani Andrade,"[{""player"": ""Ant\u00f3nio Oliveira"", ""minute"": ""17'""}, {""player"": ""Marcos Ant\u00f4nio Almeida Silva"", ""minute"": ""85'""}]",[],"[{""player"": ""Sidcley Ferreira Pereira"", ""minute"": ""32'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Andr\u00e9 Lu\u00eds da Costa Alfredo"", ""minute"": ""62'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Iago Justen Maidana Martins"", ""minute"": ""28'""}, {""player"": ""Gonzalo Math\u00edas Mastriani Borges"", ""minute"": ""68'""}, {""player"": ""Patric Cabral Lalau"", ""minute"": ""81'""}, {""player"": ""\u00c9der Ferreira Graminho"", ""minute"": ""90'""}, {""player"": ""Ricardo C\u00e9sar Dantas da Silva"", ""minute"": ""90+9'""}, {""player"": ""Henrique Almeida Caixeta Nascentes"", ""minute"": ""90+9'""}]",[],"[{""player"": ""Gonzalo Math\u00edas Mastriani Borges"", ""minute"": ""90+7'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3nbhxy9bg8b0enkoudriw093o
Fortaleza EC,CR Flamengo,3,2,28 de setembro de 2022 19:00,Castelão,46.299,Flavio Rodrigues De Souza,"[{""player"": ""Pedro Rocha Neves"", ""minute"": ""45+5'""}, {""player"": ""Lucas de Figueiredo Crispim"", ""minute"": ""45+6'""}, {""player"": ""Juan Pablo Vojvoda"", ""minute"": ""90+5'""}]",[],"[{""player"": ""Pedro Rocha Neves"", ""minute"": ""18'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Pedro Rocha Neves"", ""minute"": ""51'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Caio Alexandre Souza e Silva"", ""minute"": ""90+4'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Leonardo Pereira"", ""minute"": ""56'""}, {""player"": ""Thiago Maia Alencar"", ""minute"": ""60'""}, {""player"": ""Jo\u00e3o Victor Gomes da Silva"", ""minute"": ""84'""}, {""player"": ""Matheus Fran\u00e7a Silva"", ""minute"": ""90'""}, {""player"": ""Diego Ribas da Cunha"", ""minute"": ""90+2'""}]",[],"[{""player"": ""Gabriel Barbosa Almeida"", ""minute"": ""32'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Gabriel Barbosa Almeida"", ""minute"": ""45+5'"", ""cont"": 0, ""penal"": 1}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3n4xlej2am0u5aashnv462gic
Fluminense FC,EC Juventude,4,0,28 de setembro de 2022 19:00,Estádio Jornalista Mário Filho (Maracanã),23.396,Edina Alves Batista,"[{""player"": ""David de Duarte Macedo"", ""minute"": ""74'""}]",[],"[{""player"": ""Germ\u00e1n Ezequiel Cano"", ""minute"": ""19'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Samuel Xavier Brito"", ""minute"": ""28'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Jhon Adolfo Arias Andrade"", ""minute"": ""56'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Michel Daryl Ara\u00fajo Villar"", ""minute"": ""88'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Jo\u00e3o Victor da Vit\u00f3ria Fernandes"", ""minute"": ""73'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3mmbz34863masabum91eoy9sk
Coritiba FBC,Ceará SC,1,0,28 de setembro de 2022 19:00,Couto Pereira,13.376,Raphael Claus,"[{""player"": ""Fabr\u00edcio Daniel de Souza"", ""minute"": ""45+1'""}, {""player"": ""Luciano Cast\u00e1n da Silva"", ""minute"": ""90+1'""}]",[],"[{""player"": ""Fabr\u00edcio Daniel de Souza"", ""minute"": ""30'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Vin\u00edcius Goes Barbosa de Souza"", ""minute"": ""33'""}, {""player"": ""Richardson Fernandes dos Santos"", ""minute"": ""62'""}, {""player"": ""Victor Lu\u00eds Chuab Zamblauskas"", ""minute"": ""72'""}, {""player"": ""Marcos Victor Ferreira da Silva"", ""minute"": ""82'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3netkub5t1s46p9ny70rodj4k
SC Corinthians Paulista,Atlético Goianiense,2,1,28 de setembro de 2022 19:00,Neo Química Arena,32.146,Leandro Pedro Vuaden,[],[],"[{""player"": ""R\u00f3ger Krug Guedes"", ""minute"": ""12'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Yuri Alberto Monteiro da Silva"", ""minute"": ""88'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Luiz Fernando Moraes dos Santos"", ""minute"": ""6'""}, {""player"": ""Airton Mois\u00e9s Santos Sousa"", ""minute"": ""51'""}, {""player"": ""Diego Chur\u00edn Puyo"", ""minute"": ""89'""}]",[],"[{""player"": ""Wellington Soares da Silva"", ""minute"": ""17'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3mv3lszywti4f1olouxtz534k
Santos FC Sao Paulo,Club Athletico Paranaense,2,0,27 de setembro de 2022 21:00,Vila Belmiro,7.464,Braulio da Silva Machado,"[{""player"": ""Felipe Jonatan Rocha Andrade"", ""minute"": ""58'""}, {""player"": ""Nathan Santos de Ara\u00fajo"", ""minute"": ""84'""}, {""player"": ""Marcos Leonardo Santos Almeida"", ""minute"": ""86'""}]",[],"[{""player"": ""Luan Guilherme de Jes\u00fas Vieira"", ""minute"": ""35'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Nicol\u00e1s Hern\u00e1ndez Rodr\u00edguez"", ""minute"": ""90+2'"", ""cont"": 1, ""penal"": 0}]","[{""player"": ""Pablo Felipe Teixeira"", ""minute"": ""54'""}, {""player"": ""Alex Paulo Menezes Santana"", ""minute"": ""63'""}, {""player"": ""Matheus Felipe Santos Nascimento"", ""minute"": ""90'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3myee5rrpk7elc0lq15rue42c
São Paulo FC,Avai FC,4,0,25 de setembro de 2022 20:00,Morumbi,36.510,Bruno Arleu de Araújo,"[{""player"": ""Rodrigo Nestor Bertalia"", ""minute"": ""19'""}, {""player"": ""Marcos Guilherme de Almeida Santos Matos"", ""minute"": ""90'""}]",[],"[{""player"": ""Diego Henrique Costa Barbosa"", ""minute"": ""25'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Luciano da Rocha Neves"", ""minute"": ""45+3'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Patrick Bezerra do Nascimento"", ""minute"": ""45+6'"", ""cont"": 0, ""penal"": 0}, {""player"": ""\u00c9der Citadin Martins"", ""minute"": ""90+3'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Bruno C\u00e9sar Pereira da Silva"", ""minute"": ""17'""}, {""player"": ""Mateus Ferreira"", ""minute"": ""27'""}, {""player"": ""Jos\u00e9 Paolo Guerrero Gonz\u00e1les"", ""minute"": ""64'""}, {""player"": ""Matheus Simonete Bressanelli"", ""minute"": ""67'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3mprstmrkamhpnvz07drs1tzo
